Identifier,Company Name,Country of Exchange,"Company Market Cap(USD)","Historic P/E(FY0)","Total Debt to Total Equity, Percent(FY0)",Enterprise Value To EBITDA (Daily Time Series Ratio),Enterprise Value To Sales (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),"Enterprise Value (Daily Time Series)(USD)",Price To Book Value Per Share (Daily Time Series Ratio),"Quick Ratio(FY0)","Current Ratio(FY0)","Total Assets, Reported(FY0, USD)",Dividend yield,"Revenue(FY0, USD)","Net Income After Taxes(FY0, USD)","Capital Expenditures(FY0, USD)","Retained Earnings, TTM(FI0, USD)"
EMC.HM,ThuDuc Electro Mechanical JSC,Vietnam,6726472.43,28.72,1.86,13.45,0.97,43.44,0.52,13871396.55,1.25,0.31,1.22,12973606.4,0.04,14154599.27,133772.72,-121786.06,118122.91
PID.HNO,Petroleum Interior Decoration JSC,Vietnam,358037.95,,,,,,,,,,,,,,,,
AGM.HM,An Giang Import Export Co,Vietnam,9448621.55,3.92,0.91,17.08,0.22,4.41,1.13,21817080.26,0.55,0.91,1.52,35215099.26,0.17,93043885.55,2106661.77,-2235573.08,2186771.53
VNN.HNO,VNN Trading and Investment JSC,Vietnam,845779.78,,,,,,,846689.22,,,,2567112.22,,30734.43,,-6227.76,
HAR.HM,An Duong Thao Dien Real estate Trading Investment JSC,Vietnam,25554133.39,25.27,0.05,37.59,18.08,65.5,0.09,29205219.5,0.58,13.88,13.88,47431419.32,0,2532379.71,548721.13,-14994510.53,416702.34
BHP.HNO,Hanoi Haiphong Beer JSC,Vietnam,3533024.26,,,,,,,,,,,,0.03,,,,
SHA.HN,Son Ha Sai Gon JSC,Vietnam,7894736.84,3.6,0.57,4.53,0.49,3.25,0.56,11608579.58,0.78,1.03,1.54,19323211.78,0.05,22617804.42,1266564.03,-2185807.65,1493179.67
TTZ.HN,Tien Trung Investment Construction and Technology JSC,Vietnam,1151315.79,15.37,0,5.1,0.32,8.3,0.16,1362860.25,0.45,2.55,5.39,2983460.59,0,3312759.01,97176.96,-135042.01,147700.08
NLG.HM,Nam Long Investment Corp,Vietnam,143827782.1,15.6,0.29,19.03,2.66,15.31,0.18,173608019,1.37,0.49,2.24,223399385,0.03,55985032.86,9278855.31,-70100.45,5181192.78
DHP.HN,Hai Phong Electrical Mechanical JSC,Vietnam,5140333.87,2.05,0.19,4.81,0.46,2.51,0.19,6207527.72,0.81,0.51,2.68,8078714.31,0.08,13370737.96,2034709.46,-374671.2,1834140.29
HLD.HN,Hudland Real Estate Investment and Development JSC,Vietnam,12620837.81,6.75,0.31,4.62,0.87,6.35,0.72,10318970.74,0.61,2.4,3.56,32785124.68,0.11,15193513.87,2280574.95,-2305.08,1993920.6
FCM.HM,Fecon Mining JSC,Vietnam,9358216.97,12.23,0.53,5.71,0.89,9.43,0.45,21728851.44,0.45,0.94,1.71,41669904.96,0.1,23430804.66,1053560.42,-3839212.47,980877.67
VSG.HNO,South Vietnam Container Shipping JSC,Vietnam,642552.81,,,,,,0.98,19341529.45,-0.11,,,14190752.95,0,3014844.29,,-35412.49,-3343835.69
PSD.HN,Petroleum General Distribution Services JSC,Vietnam,19999764.1,5.8,6.61,9.5,0.22,6.72,1.02,56489000.48,1.83,0.74,1.11,105025372.6,0.12,248426756.8,3001294.12,-120530.4,2945842.81
KSQ.HN,Quang Anh Mineral JSC,Vietnam,5504833.51,7.5,0.02,10.4,0.69,13.86,0.01,5717251.9,0.21,1.17,1.66,11490907.25,0,8454366.93,257923.33,0,208822.3
FIT.HM,FIT Investment JSC,Vietnam,56144259.71,5.26,0.44,5.44,0.45,5.59,0.85,41449828.19,0.58,2.82,3.19,195753480.4,0,75919626.74,13599407.87,-2789079.73,7710044.32
KLF.HN,KLF Joint Venture Global Investment JSC,Vietnam,22940965.77,15.2,0.01,33.28,0.31,39.31,0.02,25938194.61,0.31,1.44,1.59,97457505.59,,73075504.55,2061257.51,-893054.12,570950.25
SSN.HNO,Saigon Seaproducts Import Export JSC,Vietnam,24634801.29,,,,,,,,,,,,,,,,
THS.HN,Song Da Thanh Hoa JSC,Vietnam,1039205.16,6.94,0.39,8.59,0.14,7.4,0.26,1108267.16,0.61,0.65,1.35,3356359.7,0.11,8741400.63,140587.6,-387564.52,
DVC.HNO,Hai Phong Port Trading and Services JSC,Vietnam,1519664.69,,,,,,,,,,,,0.14,,,,
PVB.HN,PetroVietnam Coating JSC,Vietnam,22330825,5.29,0.06,5.79,0.87,9.01,0.02,22045644.12,1.01,3.79,4.5,31122302.15,0.09,43045032.13,5616442.71,-473676.71,2518994.01
BID.HM,Joint Stock Commercial Bank for Investment and Development of Vietnam,Vietnam,2769367506,14.37,0,3.16,0.92,14.77,0,2144982536,1.5,,,37841176557,0,,283663523.1,-48041548.04,192250449.2
KSK.HN,Mineral Ferrous Metallergy JSC,Vietnam,3207303.97,18.39,0.04,43.19,0.84,26.27,0.4,4684812.6,0.27,1.74,1.84,15607142.87,,3101091.87,72928.4,,90782.37
CEC.HNO,Chemical Industry Engineering JSC,Vietnam,4079385.92,,,,,,,,,,,,0.07,,,,
VCX.HNO,YenBinh Cement JSC,Vietnam,3087092.73,,,,,,,,,,,,0,,,,
VTX.HNO,Multi Modal Transport Holding Co,Vietnam,13891440.69,,,,,,,,,,,,0.04,,,,
SPH.HNO,Hanoi Seaproducts Import Export Joint Stock Corp,Vietnam,5594343,,,,,,,,,,,,0.04,,,,
CNC.HNO,Traphaco High Tech JSC,Vietnam,20047792.97,,,,,,,,,,,,0.05,,,,
DTN.HNO,Thong Nhat Match JSC,Vietnam,984604.37,,,,,,,,,,,,0.08,,,,
SCI.HN,Songda 9 Construction and Investment JSC,Vietnam,2640529.9,,,,,,,,,,,,0,,,,
CLL.HM,Cat Lai Port JSC,Vietnam,36519871.11,10.43,0.21,4.92,2.64,9.24,0.11,34448041.23,1.43,2.72,2.72,31921379.03,,12140596.05,3481937.78,-4097150.53,3703156.8
SKG.HM,Superdong Fast Ferry Kien Giang JSC,Vietnam,150312464.9,12.11,0,13.99,9.44,18.35,0,138824106.8,5.93,25.8,26.49,23458212.38,0.01,13566459.98,7783802.22,-2403153.8,8724274.38
QPH.HNO,Que Phong Hydropower JSC,Vietnam,5821773.18,,,,,,,,,,,,,,,,
MWG.HM,Mobile World Investment Corp,Vietnam,656193747.8,10.75,0.83,8.34,0.52,10.61,0.13,687927644.7,4.75,0.26,1.29,323210063.8,0.02,1123342219,47854592.06,-26090653.8,56509340.07
DGC.HN,Ducgiang Chemicals & Detergent Powder JSC,Vietnam,77451414.79,8.11,0.39,6.86,0.99,6.55,0.14,107031254.8,1.97,1.01,1.29,81607504.7,0.05,108437116.7,17365949.74,-5079927.57,10282724.66
VIN.HNO,Vietnam Foreign Trade Forwarding and Warehousing JSC,Vietnam,14265574.65,,,,,,,,,,,,0.06,,,,
NDF.HN,Nam Dinh Export Foodstuff and Agricultural Products Processing JSC,Vietnam,1230231.83,201.67,0.22,23.22,0.7,,0.44,1822198.2,0.35,2.28,3.14,4548808.01,,2677735.88,4422.81,-380445.43,-2792.24
BII.HN,Bao Thu Industrial Development and Investment JSC,Vietnam,38721804.51,12.86,0.04,16.35,6.99,14.68,0.04,41103913.24,1.47,7.39,7.52,19635821.3,,5826676.6,1554149.4,-3224624.68,
TVC.HN,Tri Viet Management Investment Corp,Vietnam,13696299.77,20.06,0.49,15.39,8.57,6.7,0.39,9414683.99,1.21,3.19,3.19,12212490.53,0.05,731901.57,409134.82,-33820.06,634101.72
PEN.HN,Petrolimex Installation No III JSC,Vietnam,2058718.22,14.65,0.84,4.96,0.11,18.38,2.86,1185550.68,0.53,0.93,1.18,16670028.23,0.13,10653522.05,126607.61,-367436.08,112316.65
DAS.HNO,Danang Petroleum Machinery Technology JSC,Vietnam,660166.38,,,,,,,,,,,,,,,,
CEO.HN,CEO Group JSC,Vietnam,49754239.85,7.55,1.09,8.07,3.15,6.44,0.43,100532279.1,1.03,1.22,2.43,116593082.3,0.08,28443247.53,9147063.94,-30753949.98,2658039.63
GTN.HM,Gtnfoods JSC,Vietnam,147690655.2,22.75,0.71,23.2,1,34.33,0.03,117904060,1.77,1.4,1.54,93459872.04,0,93813328.67,2551513.22,-1573422.71,2218398.8
PRO.HNO,Procimex Vietnam JSC,Vietnam,939849.62,,,,,,,,,,,,,,,,
VMI.HN,Visaco Mineral and Investment JSC,Vietnam,2424811.75,4.08,0.24,2.87,0.34,3.72,0.41,3129137.93,0.53,1.38,1.83,7012770.87,0.04,8849224.87,491430.54,-1281370.63,324041.47
TBD.HNO,Dong Anh Electrical Equipment Corporation JSC,Vietnam,29555529.59,,,,,,,,,,,,0.02,,,,
IPO-VAL.HM,Vietnam Airlines JSC,Vietnam,,,,,,,,,,,,,,,,,
ASD.HNO,SongDa Hanoi JSC,Vietnam,143215.18,,,,,,,,,,,,,,,,
VTH.HN,Viet Thai Electric Cable Corp,Vietnam,3334228.43,6.25,0,3.49,0.15,5.95,0,2961316.97,0.83,1.68,3.6,5056589.83,0.14,23118223,663341.73,-344174.08,569816.49
BAM.HN,Bac A Mineral and Metallurgy JSC,Vietnam,2416756.18,,,,,,,,,,,,,,,,
VRG.HNO,Viet Nam Rubber Industrial Zone and Urban Development JSC,Vietnam,3360862.75,,,,,,,,,,,,0,,,,
SNC.HNO,Nam Can Seaproducts Import Export JSC,Vietnam,3558002.15,,,,,,,,,,,,0.12,,,,
QBS.HM,Quang Binh Import and Export JSC,Vietnam,23200833.19,4.4,1.51,9.57,0.37,4.04,0.87,58268703.56,0.69,0.93,1.09,109631438.4,0.09,156448631.1,3437627.44,-843667.84,3817519.69
SFT.HNO,Softech Corp,Vietnam,402792.7,,,,,,,,,,,,0,,,,
AMD.HM,AMD Group Investment JSC,Vietnam,35187933.83,12.77,0.04,23.2,0.76,16.34,0.02,34576525.19,1.16,1.12,1.63,22483284.75,0,45825232.9,1113021.4,-56964.98,1428777.03
XPH.HNO,Hanoi Soap JSC,Vietnam,5167160.2,,,,,,,,,,,,0,,,,
SFG.HM,Southern Fertilizer JSC,Vietnam,28257157.94,7.14,0.87,8.23,0.44,8.26,0.43,45286846.07,1.02,0.51,1.49,60122197.63,0.1,104001346.8,3827673.23,-815820.14,3315920.45
CAV.HM,Vietnam Electric Cable Corp,Vietnam,103759398.5,10.11,0.79,8.82,0.47,13.59,0.2,120481622,3.95,0.66,1.14,90793262.12,0.04,252128313.1,7587901.52,-2475412.94,3783466.55
NCT.HM,Noibai Cargo Terminal Services JSC,Vietnam,138182795.2,12.46,0,7.14,3.55,10.06,0,122243821.7,7.72,4.33,4.39,23093551.71,0.09,35524016.62,13910178.03,-2426633.39,632878.64
VTJ.HNO,Vi Na Ta Ba Trading & Investment JSC,Vietnam,4081632.65,,,,,,,,,,,,,,,,
TVS.HM,Thien Viet Securities JSC,Vietnam,23596266.1,6.27,0.07,0.4,0.21,7.13,6.16,1590041.19,0.95,7.78,7.78,29113514.28,0.08,9203792.93,3968109.61,-424289.55,3280358.21
KTL.HNO,Thang Long Metal Wares JSC,Vietnam,4989413.27,,,,,,,,,,,,0.04,,,,
TTB.HN,Tien Bo Group JSC,Vietnam,8313641.25,3.9,0.54,8.04,1.29,3.42,0.26,8851317.05,0.79,0.91,1.5,10635610.31,0.04,6794304.07,674263.83,-1061798.43,674263.83
PBP.HN,Petrovietnam Packaging JSC,Vietnam,2045739.35,6.83,0.65,4.02,0.54,7.08,0.43,3545969.93,1.13,1.53,2.1,3799740.37,0,6426891.03,398009.37,-163951.4,362354.42
TL4.HNO,Hydraulics Construction Corporation No4 JSC,Vietnam,6662976.34,,,,,,,,,,,,0.07,,,,
GTC.HNO,Golden Dragon Tea JSC,Vietnam,,,,,,,,,,,,,,,,,
NMK.HNO,Civil Engineering Construction JSC No510,Vietnam,1465717.87,,,,,,,,,,,,0.13,,,,
RCD.HNO,Rubber Real Estate Construction JSC,Vietnam,5550548.28,,,,,,,,,,,,0.03,,,,
HAH.HM,Hai An Transport and Stevedoring JSC,Vietnam,42092028.69,6.26,0.37,3.92,2.01,6.14,0.19,42310622.15,1.7,1.45,1.62,40964266.92,0.07,23346917.62,7426992.66,-7127146.14,5092080.45
CDO.HM,Consultancy Design and Urban Development JSC,Vietnam,27926960.26,14.04,0,14.2,3.79,18.69,0,27565385.45,2.47,2.81,3.36,12461269.36,,8073957.06,1660678.28,0,1494990.37
G20.HN,G.Home Textile Investment JSC,Vietnam,4897959.18,7.82,1.7,6.93,0.93,6.51,0.62,12734775.09,0.72,0.7,1.19,14367903.95,0.07,13384784.08,518626.34,-812848.75,426134.91
CSV.HM,South Basic Chemicals JSC,Vietnam,47475832.44,6.96,0.36,2.67,0.54,7.45,0.29,38104165.94,1.56,1.43,2.09,45003563.3,0.07,68789175.81,6684015.05,-848207.04,4813895
NHP.HN,NHP Production Import Export JSC,Vietnam,16405451.13,22.73,0.25,41.93,3.7,43.56,0.14,18286556.59,1.93,1.11,1.42,11767492.72,0,4030087.65,412788.16,-865155.21,44293.21
PSE.HN,South East PetroVietnam Fertilizer and Chemicals JSC,Vietnam,5985947.01,8.28,0,2.5,0.04,6.14,0,4582203.43,0.82,1.28,1.91,12489658.87,0.14,118911504.2,1213700.69,-108872.4,553115.9
DCM.HM,PetroVietnam Ca Mau Fertilizer JSC,Vietnam,291425886.1,10.97,1.14,4.23,1.74,11.82,0.7,422692958.6,1.01,1.67,1.83,644066692.3,0.07,248320258.5,31693068.51,-7016233.74,24336114.28
NNG.HNO,Ngoc Nghia Industry Service Trading JSC,Vietnam,30877094.52,,,,,,,,,,,,0.07,,,,
VT8.HNO,Transport Service No 8 JSC,Vietnam,1134644.52,,,,,,,,,,,,0,,,,
GSM.HNO,Huong Son Hydro Power JSC,Vietnam,10865422.48,,,,,,,,,,,,0,,,,
SHG.HNO,Songhong Joint Stock Corp,Vietnam,3383458.65,,,,,,,,,,,,0,,,,
HKB.HN,Ha Noi Kinh Bac Agriculture and Food JSC,Vietnam,49881847.48,57.14,0.73,161.19,3.97,423.97,0.11,67853610.26,3.59,1.59,2.07,17667747.81,,19333796.38,219649.22,-991770.46,78390.81
KVC.HN,Kim Vi Inox Import Export Production JSC,Vietnam,25919709.99,13.37,1.41,15.25,1.98,18.65,0.31,37242120.53,1.13,0.28,1.14,19438981.28,0,19085755.67,554304.32,-195983.17,491932.82
SAS.HNO,Southern Airports Services JSC,Vietnam,158901718.6,,,,,,0.12,157820828.6,2.47,,,,,,,,
CNH.HNO,Nha Trang Port JSC,Vietnam,10433269.13,,,,,,,,,,,,,,,,
DPS.HN,Soc Son Development Investment JSC,Vietnam,10506981.74,9.35,0.1,,,,0.04,10785553.86,,3.7,5.06,9907736.06,,45031672.07,811090.6,,1122014.67
SGR.HNO,Saigon Real Estate JSC,Vietnam,6793770.14,,,,,,,,,,,,0.12,,,,
FID.HN,Vietnam Enterprise Investment and Development JSC,Vietnam,19199783.43,8.77,0.02,25.29,1.71,,0.01,19176689.76,1.79,3.61,4.4,8028674.92,0,10789125.61,747462.87,,476232.61
CKD.HNO,Dong Anh Licogi Mechanical JSC,Vietnam,15816326.53,,,,,,,,,,,,,,,,
HHA.HNO,Hong Ha Stationery JSC,Vietnam,10027380.95,,,,,,,,,,,,,,,,
DDV.HNO,DAP Vinachem JSC,Vietnam,52966800.48,,,,,,0.46,96521709.06,,,,,,,,,
HPD.HNO,Dak Doa Hydropower JSC,Vietnam,4832871.02,,,,,,,,,,,,0,,,,
ICN.HNO,IDICO Investment Construction Oil and Natural Gas JSC,Vietnam,4721625.49,,,,,,,,,,,,0.05,,,,
VAF.HM,Van Dien Fused Magnesium Phosphate Fertilizer JSC,Vietnam,23081253.79,8,0,,,,0,14295778.74,1.06,1.1,2.43,31902351.17,0.09,42562312.63,2899591.28,-1694524.74,
TVB.HNO,Tri Viet Securities Joint Stock Corp,Vietnam,3136412.46,,,,,,,,,,,,,,,,
ISH.HNO,Idico Srok Phu Mieng Hydropower JSC,Vietnam,22153598.28,,,,,,,,,,,,0,,,,
NQB.HNO,Quang Binh Water Supply JSC,Vietnam,,,,,,,,,,,,,,,,,
PSW.HN,South West PetroVietnam Fertilizer and Chemicals JSC,Vietnam,8749552.45,6.68,0,0.57,0.01,7.74,0,1044110.02,0.89,1.76,2.37,15076844.74,0.13,115661450.2,1425377.48,-5505.73,1117301.59
DP3.HN,Central Pharmaceutical JSC No3,Vietnam,9403866.81,,,,,,0.18,11276629.71,1.9,0.43,1.36,7900272.45,0.05,9434962.04,721508.47,-511559.16,
SMN.HN,South Books and Educational Equipment JSC,Vietnam,1695443.97,8.25,0,3.59,0.08,6.15,0,1212679.7,0.74,1.28,1.88,3634515.36,0.12,14527775.6,320013.92,-552094.53,275596.41
CTT.HN,Vinacomin Machinery JSC,Vietnam,1618761.31,,,,,,,,,,,,0.09,,,,
HNG.HM,Hoang Anh Gia Lai Agricultural JSC,Vietnam,295266626.3,31.5,1.27,12.58,3.45,10.57,0.69,852345639.3,0.59,0.61,1.03,1205586839,,210439521,33096458.1,-196674682.2,31995919.24
BCG.HM,Bamboo Capital JSC,Vietnam,29606954.89,18.37,0.25,31.64,0.87,5.99,0.11,44898405.17,0.62,1.03,1.31,39174655.32,,43373769.96,2331653.12,-1552466.44,1800083.19
PCE.HN,Central PetroVietnam Fertilizer and Chemicals JSC,Vietnam,6534192.62,6.36,0,0.54,0.01,6.59,0,896158.23,0.86,1.41,2.04,11770879.88,0.13,109080791.5,1243676.69,-14676.75,391281.28
ACM.HN,A Cuong Mineral Group JSC,Vietnam,9814715.36,4.42,0.15,4.09,0.98,4.78,0.28,12550158.76,0.38,2.43,3.56,29124661.95,,12298400.36,2035051.8,-1737115.05,1517903.34
TOP.HNO,Top One Allot JSC,Vietnam,1658163.27,,,,,,,,,,,,,,,,
PTE.HNO,Phu Tho Cement JSC,Vietnam,3020945.22,,,,,,,,,,,,,,,,
HVA.HN,Hung Viet Green Agriculture JSC,Vietnam,1314894.38,3.56,0,5.59,0.24,3.17,0,1748449.86,0.44,1.88,2.27,4277129.71,0,7717790.88,374860.99,,317955.61
DGW.HM,Digiworld Corp,Vietnam,32992168.46,9.38,0.73,9.13,0.31,9.94,0.46,56825774.74,1.22,0.81,1.89,55850016.59,0.06,186982017.1,4607248.11,-52141.6,2231584.74
PDB.HN,Pacific Dinco Corp,Vietnam,8881578.95,5.96,0.33,3.85,0.63,7.03,0.17,9648729.94,1.77,1.84,2,7974478.94,,15280951.37,1314338.48,-1075259.32,764198.74
C71.HNO,No 471 JSC,Vietnam,5773361.98,,,,,,,,,,,,0.05,,,,
PIC.HNO,PC3 Investment JSC,Vietnam,14609878.2,,,,,,,,,,,,0.06,,,,
LAI.HNO,IDICO Long An Investment Construction JSC,Vietnam,6505102.04,,,,,,,,,,,,0.04,,,,
LDG.HM,LDG Investment JSC,Vietnam,40614930.18,6.01,0.06,3.82,1.57,5.21,0.06,43614732,0.9,1.01,6.15,102964256.6,,23125553.87,7228331.41,-19162788.92,7685182.32
PHP.HN,Port of Hai Phong JSC,Vietnam,321926244.2,18.06,,6.38,2.87,16.5,0.12,302451721.9,1.79,2.51,2.55,258070005.5,0.04,104546645.1,23192872.86,-13175523.71,18688832.61
TA9.HN,Thanh An 96 Installation and Construction JSC,Vietnam,13846879.7,4.33,0.48,2.95,0.11,8.02,0.21,11156979.42,2.86,0.91,1.01,49696728.12,,104165186.3,1482603.57,-3818466.53,1878542.99
VPS.HM,Vietnam Pesticide JSC,Vietnam,17124806.15,6.82,0.13,5.95,0.51,8.62,0.12,17301246.9,1.17,1.29,2.09,24794698.6,,35716408.58,2054066.93,-534913.94,1993470.59
VNP.HNO,Vietnam Plastic Corp,Vietnam,6260659.4,,,,,,,,,,,,,,,,
VMA.HNO,Vinacomin Motor Industry JSC,Vietnam,1450053.71,,,,,,,,,,,,0.07,,,,
AGX.HNO,Sai Gon Export Foodstuffs and Agricultural Products JSC,Vietnam,16095596.13,,,,,,,,,,,,,,,,
MCI.HNO,IDICO Material development and construction investment JSC,Vietnam,939849.62,,,,,,,,,,,,,,,,
BFC.HM,Binh Dien Fertilizer JSC,Vietnam,74624060.15,6.24,1.99,6.54,0.55,8.08,0.48,145516281.7,1.84,0.45,1.2,158787451.9,0.08,268589147.8,12465905.25,-13228989.28,3352566.11
BCP.HNO,Becamex Pharmaceutical JSC,Vietnam,1175259.58,,,,,,,,,,,,0.05,,,,
VLG.HNO,Vinalines Logistics Viet Nam JSC,Vietnam,4452421.68,,,,,,,,,,,,,,,,
MSR.HNO,Masan Resources Corp,Vietnam,607698555.8,,,,,,,,,,,,0,,,,
TRS.HNO,Tracimexco Supply Chains and Agency Services JSC,Vietnam,6041511.64,,,,,,,,,,,,0.05,,,,
ISG.HNO,International Shipping and Labour Cooperation JSC,Vietnam,787683.49,,,,,,,,,,,,,,,,
DCD.HNO,DIC Tourisrt and Trade JSC,Vietnam,4043796.28,,,,,,,,,,,,,,,,
CCR.HNO,CamRanh Port JSC,Vietnam,12829898.81,,,,,,,,,,,,0.01,,,,
UEM.HNO,Vinacomin Uong Bi Electric Mechanical JSC,Vietnam,981203.01,,,,,,,,,,,,0.09,,,,
SDX.HNO,Song Da Investment Construction and Fire Prevention JSC,Vietnam,1127819.55,,,,,,,,,,,,0,,,,
STK.HM,Century Synthetic Fiber Corp,Vietnam,59877398.85,18.86,1.18,12.21,2.25,23.88,0.39,98852830.52,1.97,0.28,1.16,76470569,0.02,46060335.28,3172625.85,-22231254.95,1199427.29
PMP.HN,Dam Phu My Packaging JSC,Vietnam,3364661.65,,,,,,,,,,,,0.1,,,,
NAF.HM,Nafoods Group JSC,Vietnam,37325456.5,17.13,0.21,11,1.65,10.09,0.1,41226254.84,2.32,2.95,3.19,24527319.25,,23608794.58,2910934.55,-300413.54,1724938.82
PMB.HN,North PetroVietnam Fertilizer & Chemicals JSC,Vietnam,6713211.6,,,,,,,,,,,,0.12,,,,
AGP.HNO,Agimexpharm Pharmaceutical JSC,Vietnam,6491711.6,,,,,,,,,,,,0.05,,,,
BDW.HNO,Binh Dinh Water Supply and Sewerage JSC,Vietnam,6443129.25,,,,,,,,,,,,,,,,
HJC.HNO,Hoa Viet JSC,Vietnam,8340908.25,,,,,,,,,,,,0.05,,,,
DAT.HM,Travel Investment and Seafood Development Corp,Vietnam,41776315.79,,,,,,,,,,,,,,,,
VGC.HNO,Viglacera Corporation JSC,Vietnam,185850787.7,,,,,,0.37,275560555.7,1.53,,,,,,0,,
MTA.HNO,Hatinh Minerals and Trading Joint Stock Corp,Vietnam,25133338.44,,,,,,,,,,,,,,,,
CMK.HNO,Vinacomin Maokhe Mechanical JSC,Vietnam,,,,,,,,,,,,,,,,,
VLC.HNO,Vietnam Livestock Corporation JSC,Vietnam,51680464.55,,,,,,,,,,,,,,,,
VMS.HN,Vietnam Maritime Development JSC,Vietnam,5075187.97,,,,,,,,,,,,,,,,
DGL.HN,DucGiang LaoCai Chemical JSC,Vietnam,79949681.7,,,,,,,,,,,,0.13,,,,
HNB.HNO,Ha Noi Transport Station JSC,Vietnam,19132653.06,,,,,,,,,,,,0.02,,,,
GEX.HNO,Vietnam Electrical Equipment Joint Stock Corp,Vietnam,170649838.9,,,,,,,,,,,,0.04,,,,
CGP.HNO,CanGio Pharmaceutical JSC,Vietnam,2450416.7,,,,,,,,,,,,,,,,
HNF.HNO,HuuNghi Food JSC,Vietnam,15216612.96,,,,,,,,,,,,0.05,,,,
DOP.HNO,DongThap Petroleum Transportations JSC,Vietnam,,,,,,,,,,,,,,,,,
NPH.HNO,Nha Trang Post Hotel JSC,Vietnam,939849.62,,,,,,,,,,,,,,,,
DLT.HNO,Vinacomin Tourism & Trading JSC,Vietnam,1846174.54,,,,,,,,,,,,,,,,
NDP.HNO,National Day Pharmaceutical JSC of HCM City,Vietnam,5638426.42,,,,,,,,,,,,0.05,,,,
HU6.HNO,HUD6 City and Housing Development Investment JSC,Vietnam,3860096.67,,,,,,,,,,,,,,,,
MBG.HN,Viet Nam Trading and Construction Development Investment JSC,Vietnam,4797708.56,,,,,,,,,,,,,,,,
TPS.HNO,Sai Gon Transportation Parking JSC,Vietnam,1775868.24,,,,,,,,,,,,0.07,,,,
KCB.HNO,Cao Bang Mineral and Metallurgical JSC,Vietnam,2005012.53,,,,,,,,,,,,0,,,,
NCS.HNO,Noi Bai Catering Services JSC,Vietnam,26494725.65,,,,,,,,,,,,0.06,,,,
TFC.HN,Trang Corp,Vietnam,8319906.91,,,,,,,,,,,,,,,,
SGN.HNO,Sai Gon Ground Services JSC,Vietnam,75759907.89,,,,,,,,,,,,,,,,
LAW.HNO,Long An Water Supply Sewerage JSC,Vietnam,7644110.28,,,,,,,,,,,,,,,,
BLI.HNO,Bao Long Insurance Corp,Vietnam,15664160.4,,,,,,,,,,,,,,,,
MKT.HNO,Minh Khai Textile JSC,Vietnam,2191192.27,,,,,,,,,,,,0,,,,
HHV.HNO,Hai Van Tunnel Management and Operation JSC,Vietnam,2651718.58,,,,,,,,,,,,,,,,
TVM.HNO,Vinacomin Industry Investment Consulting JSC,Vietnam,1020408.16,,,,,,,,,,,,0.1,,,,
VEF.HNO,Vietnam Exhibition Fair Centre JSC,Vietnam,603962050.2,,0,,,,0,580380269.7,8.17,114.98,114.99,76369375.17,,2880668.23,1305451.71,-224472.85,
SGO.HN,Sai Gon Vegetable Oil JSC,Vietnam,3848907.98,,,,,,,,,,,,,,,,
ITS.HNO,Vinacomin Investment Trading and Service JSC,Vietnam,3608993.91,,,,,,,,,,,,,,,,
PCN.HN,DMC Northern Petrolium Chemicals JSC,Vietnam,913339.6,,,,,,,,,,,,,,,,
VSA.HN,Viet Nam Ocean Shipping Agency Corp,Vietnam,14077604.73,,,,,,,,,,,,0.07,,,,
XMD.HNO,XuanMai DaoTu JSC,Vietnam,2148227.71,,,,,,,,,,,,0,,,,
TEG.HN,Truong Thanh Real Estate and Construction JSC,Vietnam,9801288.94,,,,,,,,,,,,0,,,,
VTG.HNO,Ba Ria Vung Tau Tourist JSC,Vietnam,13768092.11,,,,,,,,,,,,,,,,
VTM.HNO,Vinacomin Transportation and Miner Commuting Service JSC,Vietnam,,,,,,,,,,,,,,,,,
SLC.HNO,Labour and Expert Export Service JSC,Vietnam,5311493.02,,,,,,,,,,,,0,,,,
PIS.HNO,PISICO Binh Dinh Corporation JSC,Vietnam,,,,,,,,,,,,,,,,,
PVO.HNO,PV Oil Lube JSC,Vietnam,1712764.05,,,,,,,,,,,,,,,,
HPM.HN,HOANG PHUC Mineral Trading and Construction JSC,Vietnam,2993197.28,,,,,,,,,,,,,,,,
PEQ.HNO,Petrolimex Equipment JSC,Vietnam,781288.94,,,,,,,,,,,,0.17,,,,
MPT.HN,Phu Thanh Garment JSC,Vietnam,5585392.05,,,,,,,,,,,,,,,,
VPA.HNO,VP Petrochemical Transport JSC,Vietnam,4723113.1,,,,,,,,,,,,,,,,
TVN.HNO,Viet Nam Steel Corp,Vietnam,212406015,,,,,,,,,,,,0,,,,
NAP.HNO,Nghetinh Port Holding JSC,Vietnam,,,,,,,,,,,,,,,,,
HU4.HNO,HUD4 Investment and Construction JSC,Vietnam,3625134.26,,,,,,,,,,,,0.06,,,,
CMP.HNO,Chanmay Port JSC,Vietnam,,,,,,,,,,,,,,,,,
RBC.HNO,Rubber Industry and Import Export JSC,Vietnam,4489038.67,,,,,,,,,,,,0,,,,
TND.HNO,Tay Nam Da Mai Coal JSC Vinacomin,Vietnam,,,,,,,,,,,,,,,,,
KPF.HM,KPF Consultant International Project JSC,Vietnam,,,,,,,,,,,,,,,,,
CXH.HNO,Hanoi Passenger Car JSC,Vietnam,,,,,,,,,,,,,0,,,,
THW.HNO,Tan Hoa Water Supply JSC,Vietnam,,,,,,,,,,,,,,,,,
